"ENSEMBL","ENTREZID"
"ENSG00000162576","54587"
"ENSG00000162591","1953"
"ENSG00000162654","115361"
"ENSG00000162722","25893"
"ENSG00000162729","93185"
"ENSG00000162817","79762"
"ENSG00000162896","5284"
"ENSG00000162975","3754"
"ENSG00000162999","142679"
"ENSG00000163093","129880"
"ENSG00000163220","6280"
"ENSG00000163249","151195"
"ENSG00000163283","250"
"ENSG00000163297","118429"
"ENSG00000163393","55356"
"ENSG00000163517","79885"
"ENSG00000163520","2199"
"ENSG00000163531","23114"
"ENSG00000163637","166336"
"ENSG00000163702","84818"
"ENSG00000163704","285368"
"ENSG00000163710","26577"
"ENSG00000163823","1230"
"ENSG00000163873","2899"
"ENSG00000163888","94032"
"ENSG00000163993","6286"
"ENSG00000164047","820"
"ENSG00000164089","64850"
"ENSG00000164125","51313"
"ENSG00000164211","134429"
"ENSG00000164236","651746"
"ENSG00000164292","22836"
"ENSG00000164362","7015"
"ENSG00000164398","23305"
"ENSG00000164418","2898"
"ENSG00000164440","167838"
"ENSG00000164638","222962"
"ENSG00000164651","221833"
"ENSG00000164683","23462"
"ENSG00000164687","2171"
"ENSG00000164742","107"
"ENSG00000164761","4982"
"ENSG00000164778","2020"
"ENSG00000164794","27012"
"ENSG00000164849","115330"
"ENSG00000164877","79778"
"ENSG00000164904","501"
"ENSG00000164946","158326"
"ENSG00000164949","2669"
"ENSG00000165023","54769"
"ENSG00000165061","79698"
"ENSG00000165078","57094"
"ENSG00000165084","116328"
"ENSG00000165092","216"
"ENSG00000165124","79987"
"ENSG00000165125","55503"
"ENSG00000165215","1365"
"ENSG00000165416","10910"
"ENSG00000165475","51084"
"ENSG00000165507","11067"
"ENSG00000165572","89890"
"ENSG00000165626","222389"
"ENSG00000165655","84858"
"ENSG00000165731","5979"
"ENSG00000165757","57608"
"ENSG00000165810","153579"
"ENSG00000165821","6297"
"ENSG00000166033","5654"
"ENSG00000166165","1152"
"ENSG00000166173","55323"
"ENSG00000166183","374569"
"ENSG00000166188","57567"
"ENSG00000166311","6609"
"ENSG00000166313","322"
"ENSG00000166432","84460"
"ENSG00000166450","283659"
"ENSG00000166503","50810"
"ENSG00000166509","10143"
"ENSG00000166548","7084"
"ENSG00000166582","201161"
"ENSG00000166664","89832"
"ENSG00000166793","219539"
"ENSG00000166823","55897"
"ENSG00000166828","6340"
"ENSG00000166866","4640"
"ENSG00000166927","58475"
"ENSG00000166979","59271"
"ENSG00000167157","51450"
"ENSG00000167363","64122"
"ENSG00000167513","81620"
"ENSG00000167552","7846"
"ENSG00000167646","352909"
"ENSG00000167680","10501"
"ENSG00000167693","64359"
"ENSG00000167754","25818"
"ENSG00000167889","146664"
"ENSG00000168140","114990"
"ENSG00000168143","222584"
"ENSG00000168280","3800"
"ENSG00000168282","4247"
"ENSG00000168329","1524"
"ENSG00000168350","123099"
"ENSG00000168447","6338"
"ENSG00000168477","7148"
"ENSG00000168497","8436"
"ENSG00000168528","347735"
"ENSG00000168734","11142"
"ENSG00000168952","29091"
"ENSG00000168994","221749"
"ENSG00000169031","1285"
"ENSG00000169062","65110"
"ENSG00000169297","190"
"ENSG00000169439","6383"
"ENSG00000169583","9022"
"ENSG00000169629","727851"
"ENSG00000169740","7580"
"ENSG00000169760","22871"
"ENSG00000169783","84894"
"ENSG00000169851","5099"
"ENSG00000169855","6091"
"ENSG00000169860","5028"
"ENSG00000169862","1501"
"ENSG00000169894","4584"
"ENSG00000169946","23414"
"ENSG00000170175","1140"
"ENSG00000170298","284194"
"ENSG00000170412","55890"
"ENSG00000170442","3892"
"ENSG00000170477","3851"
"ENSG00000170500","164832"
"ENSG00000170523","3889"
"ENSG00000170684","162979"
"ENSG00000170786","195814"
"ENSG00000170837","2850"
"ENSG00000170962","80310"
"ENSG00000170989","1901"
"ENSG00000171126","170850"
"ENSG00000171159","79095"
"ENSG00000171222","51282"
"ENSG00000171223","3726"
"ENSG00000171246","4884"
"ENSG00000171345","3880"
"ENSG00000171346","3866"
"ENSG00000171451","92126"
"ENSG00000171557","2266"
"ENSG00000171724","57687"
"ENSG00000171791","596"
"ENSG00000171798","85442"
"ENSG00000171813","170394"
"ENSG00000171903","57834"
"ENSG00000172379","9915"
"ENSG00000172508","57571"
"ENSG00000172766","79612"
"ENSG00000172780","339122"
"ENSG00000172824","283848"
"ENSG00000172889","51162"
"ENSG00000172935","116535"
"ENSG00000172985","344558"
"ENSG00000173124","142827"
"ENSG00000173156","29984"
"ENSG00000173227","91683"
"ENSG00000173237","254439"
"ENSG00000173258","158399"
"ENSG00000173599","5091"
"ENSG00000173621","78999"
"ENSG00000173762","924"
"ENSG00000173825","220359"
"ENSG00000174080","8722"
"ENSG00000174130","10333"
"ENSG00000174137","152877"
"ENSG00000174307","23612"
"ENSG00000174469","26047"
"ENSG00000174672","9024"
"ENSG00000175264","8534"
"ENSG00000175352","56675"
"ENSG00000175463","374403"
"ENSG00000175556","79836"
