"hgnc_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","Ensembl_ID"
"ADAMTS12",-3.5005455383231,2.98925584154205,-1.19860064725121,0.253722309895859,0.999980315117939,-4.57690535125697,"ENSG00000151388"
"SETBP1",-1.00196476353339,0.275581781286823,-0.510461146930691,0.618949028405028,0.999980315117939,-4.60859539113003,"ENSG00000152217"
"GUCY1A2",-2.13932570449636,-0.374277796291418,-2.19161447314191,0.0487746992586179,0.999980315117939,-4.56747880801236,"ENSG00000152402"
"IGSF10",-2.35001139008653,0.862447225410578,-2.81756887203169,0.0154739003529571,0.999980315117939,-4.51075999014166,"ENSG00000152580"
"PID1",-1.38278188865817,2.15602838123462,-1.27053741457527,0.227873350194026,0.999980315117939,-4.57085360513753,"ENSG00000153823"
"ANKFN1",-1.04174038140795,1.57742971872191,-2.35709013114658,0.0361602295916374,0.999980315117939,-4.47134514335196,"ENSG00000153930"
"ABCA10",-1.18318155259213,-0.378006083128217,-1.48848759420128,0.162316981733619,0.999980315117939,-4.58322341829612,"ENSG00000154263"
"SORBS2",-1.13215500517442,5.30299212165986,-1.94630409935243,0.0753090264970749,0.999980315117939,-4.34474059637617,"ENSG00000154556"
"PDE1C",-2.93697967670363,2.43030659123186,-1.27298192202144,0.227033447813216,0.999980315117939,-4.57199555542795,"ENSG00000154678"
"ADAMTS5",-1.24801144557826,0.866557792475472,-0.395115600141708,0.699661861128221,0.999980315117939,-4.61686620499008,"ENSG00000154736"
"PLCL2",-1.05169336862564,1.2687999012625,-2.55123410867338,0.0253369749192079,0.999980315117939,-4.47338016948046,"ENSG00000154822"
"LRGUK",-1.54874812568013,-1.66871087772548,-1.83895800753468,0.0906776783130458,0.999980315117939,-4.58546047587468,"ENSG00000155530"
"RAB39B",-1.24109181041013,1.19041306924789,-0.63712983801905,0.53595644001273,0.999980315117939,-4.61465105631287,"ENSG00000155961"
"GDF6",-1.25025927392631,0.37391835974316,-0.315032911035181,0.758124660585707,0.999980315117939,-4.61175952657745,"ENSG00000156466"
"HKDC1",-1.0764974293596,-0.0802316366845962,-1.96853977110766,0.0724406941840441,0.999980315117939,-4.56362819675038,"ENSG00000156510"
"ATP2B2",-2.76436082687206,-2.96355435542832,-1.22313623647566,0.244657500468486,0.999980315117939,-4.5940880943142,"ENSG00000157087"
"TMEM171",-1.28856924766516,-0.459245626527151,-0.836941129631662,0.418913170332039,0.999980315117939,-4.59832726464812,"ENSG00000157111"
"IL34",-1.34498943293427,-2.62939694928276,-0.89068911390423,0.39053138745649,0.999980315117939,-4.59574084999105,"ENSG00000157368"
"LCA5L",-1.03685098481851,-0.77609322126706,-2.34194036501931,0.0371709160553198,0.999980315117939,-4.5666446937509,"ENSG00000157578"
"KCNB1",-1.52129780921461,0.429750062483772,-1.04699018633623,0.315649336704217,0.999980315117939,-4.59379721632164,"ENSG00000158445"
"CILP2",-1.21619453276118,-1.08545092733545,-0.751228792648782,0.466931891472731,0.999980315117939,-4.59826817744959,"ENSG00000160161"
"LBHD1",-1.72873674394274,3.12843441045138,-2.11379342939233,0.0560560560165702,0.999980315117939,-4.42603322579961,"ENSG00000162194"
"SLC1A7",-1.67750902857386,-3.15038405907638,-0.9072934846297,0.38203552973137,0.999980315117939,-4.59551926212053,"ENSG00000162383"
"PARS2",-1.15774317150909,1.84513733729109,-1.72920736333455,0.109278002552058,0.999980315117939,-4.52655112657107,"ENSG00000162396"
"PLPP3",-2.29624525380356,2.72774162154048,-2.11380952799141,0.056054449209888,0.999980315117939,-4.45274786736375,"ENSG00000162407"
"WNT4",-1.21441975216281,-0.256527219523655,-1.25073070078423,0.234771023312947,0.999980315117939,-4.5889427134036,"ENSG00000162552"
"NTNG1",-1.3030811848051,-2.64592144551189,-1.08769323344929,0.298005664017153,0.999980315117939,-4.59460123440368,"ENSG00000162631"
"VCAM1",-2.07580672646503,-0.843933436802295,-1.46350361091992,0.168919062788925,0.999980315117939,-4.58764564296739,"ENSG00000162692"
"LINC01116",-1.60402481044546,-0.035399099483424,-0.70627327214911,0.493446945409297,0.999980315117939,-4.60180028757248,"ENSG00000163364"
"NPY1R",-1.07078180274015,-0.811662117044752,-0.742150426548939,0.472213610151653,0.999980315117939,-4.59902750501198,"ENSG00000164128"
"HHIP",-1.44552301305086,1.9605047855588,-0.557385952374316,0.587467414689737,0.999980315117939,-4.62718711691287,"ENSG00000164161"
"ITGA2",-1.82575369150037,1.64950276164665,-0.52029093629198,0.612285572986442,0.999980315117939,-4.62239517586051,"ENSG00000164171"
"EDIL3",-2.66455426361881,3.76494886233078,-0.916361975379552,0.377449868989272,0.999980315117939,-4.61249271848118,"ENSG00000164176"
"F2RL2",-1.23841814016256,-0.276829455006177,-0.524988565567809,0.609113810564688,0.999980315117939,-4.60395623763965,"ENSG00000164220"
"ESM1",-2.89016663027983,-0.514126922086478,-1.60965716906457,0.133338888913055,0.999980315117939,-4.58450986273232,"ENSG00000164283"
"TLR3",-1.32033654473688,-1.19395785521927,-0.787100757620826,0.446426462077118,0.999980315117939,-4.59766241172829,"ENSG00000164342"
"TNFRSF11B",-1.27549559614442,-1.59927990572898,-0.388409923946946,0.704487091757698,0.999980315117939,-4.59970953982281,"ENSG00000164761"
"PCDH19",-1.66279898537857,-1.81837811016373,-1.54308023964894,0.148652294758283,0.999980315117939,-4.58967119938768,"ENSG00000165194"
"FAT3",-1.12431107083609,-0.479325081826094,-0.463764597201676,0.651081082902311,0.999980315117939,-4.60363928439609,"ENSG00000165323"
"LRFN5",-1.54959222081832,-1.42938684179668,-1.45814581547327,0.170364102674261,0.999980315117939,-4.58950587452281,"ENSG00000165379"
"PKNOX2",-1.77950247581701,-0.507351161855694,-0.71654676666689,0.487308315795147,0.999980315117939,-4.59981034824719,"ENSG00000165495"
"ZNF22-AS1",-1.12213854000248,-2.22665017226889,-0.574243162687623,0.576364966951656,0.999980315117939,-4.59771199112049,"ENSG00000165511"
"AMOTL1",-1.62854283293575,4.62555029431691,-1.29925763061211,0.218161972254889,0.999980315117939,-4.54321309317892,"ENSG00000166025"
"HTRA1",-1.38122402354096,3.50503206195324,-0.836679502923099,0.419054604611964,0.999980315117939,-4.62315142193868,"ENSG00000166033"
"CYYR1",-3.10133148095585,-4.16776394413845,-1.44944718635887,0.172732426142268,0.999980315117939,-4.59344526133722,"ENSG00000166265"
"MFAP4",-1.85906852231476,-3.91155611313415,-0.913348282437362,0.378969540249278,0.999980315117939,-4.59538882390332,"ENSG00000166482"
"RRAD",-1.32628245552557,-1.89455770321344,-0.844457607314024,0.414863336323406,0.999980315117939,-4.59640449590567,"ENSG00000166592"
"PRRX2",-1.5065453629694,0.0775403372871062,-1.15450144971108,0.270674843108892,0.999980315117939,-4.59083118480541,"ENSG00000167157"
"ISLR2",-1.40134273642348,1.10748670554243,-1.39656096565102,0.187734974529066,0.999980315117939,-4.57178266219814,"ENSG00000167178"
"PLIN4",-1.30682655612277,-1.2333275114218,-1.13793063230113,0.277267087530838,0.999980315117939,-4.59333705351599,"ENSG00000167676"
"EVPL",-1.47368046594024,-2.74256311374567,-0.631456761289702,0.539534855004687,0.999980315117939,-4.59684212563528,"ENSG00000167880"
"LCMT2",-1.2690330110059,2.25055227099596,-1.53475273423755,0.150670617247839,0.999980315117939,-4.53956346896981,"ENSG00000168806"
"ZNF608",-1.85345678790014,-0.0990106745847319,-0.924077572577336,0.373578574057572,0.999980315117939,-4.59696540402339,"ENSG00000168916"
"STXBP6",-3.36918713435111,-2.37988035549909,-1.59239243337582,0.137172161230538,0.999980315117939,-4.59151789372264,"ENSG00000168952"
"PARM1",-1.66152880539469,-1.2421423920697,-0.516961617046087,0.614538456051337,0.999980315117939,-4.59973988325656,"ENSG00000169116"
"AFAP1L2",-3.27635600434751,-1.65521792067864,-1.47006610588557,0.167163246610366,0.999980315117939,-4.59113810559604,"ENSG00000169129"
"STK32A",-1.11263934867076,-1.20319749738713,-0.516418436256501,0.614906406143585,0.999980315117939,-4.60020549238883,"ENSG00000169302"
"SDC2",-1.0311791508059,1.70533180721566,-0.282659551997676,0.78223402317746,0.999980315117939,-4.63471340402936,"ENSG00000169439"
"LDB2",-2.46951101641373,3.12148304716786,-1.92633269305329,0.0779739470213339,0.999980315117939,-4.46475294462289,"ENSG00000169744"
"ZFPM2",-1.31111338142155,-0.562470109117132,-0.641442008618561,0.533245490114982,0.999980315117939,-4.6010190476629,"ENSG00000169946"
"KRT86",-1.59019071296271,-0.599785606893218,-0.821983070339456,0.427050270571706,0.999980315117939,-4.59819039607071,"ENSG00000170442"
"PKIA",-3.585075845731,1.38233382080475,-1.33536742878152,0.206431006584746,0.999980315117939,-4.58177033576365,"ENSG00000171033"
"UGT2B7",-3.58098776237053,-0.903219329335507,-2.17249329429045,0.0504762570418733,0.999980315117939,-4.57964236039268,"ENSG00000171234"
"SLC25A33",-1.37971812458452,0.136214765621255,-0.438869894634131,0.66852078676935,0.999980315117939,-4.60843761537525,"ENSG00000171612"
